Timestamp,Which age group do you belong to? ,  What is your gender?  ,What is your level of education? ,What is your primary occupation ?,"How many hours in a day, on average, do you spend in front of screens?",Which device do you use most frequently?,Which activity do you dedicate most of your screen time to?  ,Which app category do you use the most during your screen time?,During which part of the day do you spend most of your screen time?,What kind of environment helps you stay productive during screen use?,"After spending a long time in front of screens to complete a certain task, how do you generally feel about your productivity?",How long can you generally stay focused on a single screen-based task without distractions?,"How do you try to stay focused while working on a complex task (e.g, coding)?","While working on a screen-based task, how do you handle frequent notifications which distract you?",Does your attention span vary based on the type of task?,Do you use tools/apps to monitor or manage your screen time?,Did you struggle with your attention while filling out this survey? :)
11/29/2024 14:38:50,18–24,Male,High school or below,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/29/2024 14:52:52,45 and above,Male,Msc. Economics,Student,8-10,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Morning (6 AM–12 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/29/2024 15:01:17,18–24,Female,High school or below,Student,6–8,Laptop/PC,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/29/2024 15:46:33,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/29/2024 17:07:05,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",Yes
11/29/2024 18:34:13,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
11/29/2024 18:47:47,18–24,Male,Undergraduate,Student,2–4,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/29/2024 19:48:01,18–24,Female,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/29/2024 19:52:19,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/29/2024 20:33:14,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",No
11/29/2024 20:53:36,18–24,Male,Graduate,Student,4–6,Smartphone,Academic/Work-related,"YouTube, Facebook ",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/30/2024 10:59:38,18–24,Male,Graduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/30/2024 11:11:39,18–24,Male,Graduate,Student,8-10,Laptop/PC,Both Work & Entertainment,Almost All,Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/30/2024 11:36:56,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/30/2024 11:46:21,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
11/30/2024 11:58:59,18–24,Female,Undergraduate,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",Yes
11/30/2024 13:13:57,18–24,Female,High school or below,Student,8-10,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/30/2024 13:23:21,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,Eliminate all distractions,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/30/2024 14:03:22,35–44,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",Yes
11/30/2024 16:18:39,18–24,Male,Graduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",Yes
11/30/2024 18:39:54,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/30/2024 19:03:33,18–24,Female,Undergraduate,Student,8-10,Laptop/PC,Academic/Work-related,VS code,Evening (6 PM–10 PM),Background noise/music,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
11/30/2024 19:20:52,18–24,Female,Undergraduate,Student,4–6,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/30/2024 20:23:00,18–24,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",No
12/3/2024 14:11:36,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
12/13/2024 19:44:26,Below 18,Male,High school or below,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
12/15/2024 18:34:37,25–34,Female,Graduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
12/15/2024 21:05:32,18–24,Female,Graduate,Student,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
12/16/2024 0:30:34,Below 18,Male,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",I won't say
12/16/2024 19:25:53,18–24,Male,Undergraduate,Freelance/Entrepreneur,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",Yes
12/17/2024 18:48:06,18–24,Male,Undergraduate,Professional,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,"Use some productivity tool (e.g, timers, blockers)",Ignore them until my task is completed,"No, it remains consistent","Yes, they are extremely helpful",Yes
12/23/2024 0:38:58,18–24,Male,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",No
12/23/2024 18:32:21,25–34,Male,Graduate,Freelance/Entrepreneur,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Eliminate all distractions,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",Yes
12/24/2024 21:32:35,18–24,Female,High school or below,Professional,More than 10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",Yes
12/24/2024 21:33:07,25–34,Male,Graduate,Freelance/Entrepreneur,More than 10,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Late night (10 PM–6 AM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, they are extremely helpful",Yes
12/24/2024 21:33:32,25–34,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
12/24/2024 21:34:57,25–34,Male,MBA ,Professional,More than 10,Smartphone,A & B both,A & B both,Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",Yes
12/24/2024 21:39:18,25–34,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
12/24/2024 21:40:06,25–34,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
12/24/2024 21:42:55,18–24,Male,Undergraduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Oracle ERP, Microsoft Excel & Whatsapp ",Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
12/24/2024 22:00:16,25–34,Female,Graduate,Professional,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"No, it remains consistent","Yes, they are extremely helpful",Yes
12/24/2024 22:10:40,18–24,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
12/24/2024 22:12:44,18–24,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
12/24/2024 22:26:18,25–34,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",I won't say
12/24/2024 22:41:58,18–24,Female,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
12/24/2024 22:52:14,18–24,Prefer not to say,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
12/24/2024 23:35:54,18–24,Female,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",I won't say
12/25/2024 1:27:18,18–24,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",Yes
12/25/2024 6:57:54,18–24,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
12/25/2024 7:03:54,18–24,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,development ,Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
12/25/2024 12:24:29,25–34,Female,Masters,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
12/25/2024 13:33:21,25–34,Male,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
12/25/2024 15:31:35,25–34,Female,Graduate,Professional,4–6,Laptop/PC,Academic/Work-related,offivce work,Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",Yes
